dataset,seed,alpha,method,is,cov,size,sscv_pct
ksc,2,0.15,D,3.307671637780465,0.8399838774687626,1.1741233373639661,15.000000000000002
ksc,2,0.15,A,3.205427918849926,0.8359532446594116,1.0181378476420797,15.000000000000002
ksc,2,0.15,B,3.0901518205024856,0.8419991938734381,0.9834744054816607,8.422306959008585
ksc,2,0.15,C,3.030632809351068,0.848851269649335,1.015316404675534,15.000000000000002
ksc,3,0.05,D,4.1011688835147115,0.9355098750503829,1.5215638855300282,5.000000000000004
ksc,3,0.05,A,3.7110036275695286,0.9379282547359935,1.2281338170092704,14.999999999999991
ksc,3,0.05,B,3.675130995566304,0.9367190648931882,1.143893591293833,4.433962264150937
ksc,3,0.05,C,3.233776702942362,0.9496170898831117,1.218460298266828,5.000000000000004
ksc,3,0.1,D,3.7037484885126966,0.8782748891575978,1.2692462716646513,9.999999999999998
ksc,3,0.1,A,3.395002015316405,0.8859330914953648,1.1136638452237002,9.999999999999998
ksc,3,0.1,B,3.2789197904070937,0.8895606610237807,1.0701330108827085,5.454545454545457
ksc,3,0.1,C,3.1636436920596536,0.898428053204353,1.132204756146715,9.999999999999998
ksc,3,0.15,D,3.374177079134758,0.8327287384119306,1.143893591293833,15.000000000000002
ksc,3,0.15,A,3.2853688029020556,0.8307134220072552,1.0282144296654574,6.486220472440952
ksc,3,0.15,B,3.139728604057504,0.8395808141878275,1.0008061265618702,8.208661417322837
ksc,3,0.15,C,3.121187693134489,0.8444175735590488,1.0467553405884724,10.128339444735468
ksc,4,0.05,D,3.9334945586457075,0.947198710197501,1.8214429665457477,4.340659340659336
ksc,4,0.05,A,3.906489318823055,0.9435711406690851,1.649334945586457,6.111111111111112
ksc,4,0.05,B,3.9274486094316807,0.9431680773881499,1.6541717049576783,5.000000000000004
ksc,4,0.05,C,2.9375251914550584,0.9709794437726723,1.776702942361951,11.279069767441852
ksc,4,0.1,D,3.648528819024587,0.8911729141475212,1.4719871019750101,23.33333333333334
ksc,4,0.1,A,3.5634824667472795,0.8899637243047158,1.3627569528415961,17.19298245614035
ksc,4,0.1,B,3.3857315598548974,0.8976219266424829,1.3381700927045546,20.973451327433633
ksc,4,0.1,C,2.853688029020556,0.9302700523982266,1.4590890769850866,15.531914893617028
ksc,4,0.15,D,3.360069864302029,0.8472390165255945,1.3232567513099556,35.0
ksc,4,0.15,A,3.195888754534462,0.8500604594921403,1.196694881096332,15.000000000000002
ksc,4,0.15,B,3.103049845492409,0.8516727126158807,1.1253526803708183,15.000000000000002
ksc,4,0.15,C,3.004299341663308,0.8710197501007658,1.2845626763401854,10.586592178770948
ksc,5,0.05,D,4.778718258766626,0.9419588875453446,2.457073760580411,4.1666666666666625
ksc,5,0.05,A,4.163240628778718,0.9463925836356308,2.01894397420395,5.000000000000004
ksc,5,0.05,B,3.5642885933091497,0.9540507859733979,1.7263200322450625,12.0
ksc,5,0.05,C,3.1902458686013704,0.9685610640870617,1.9326884320838371,5.000000000000004
ksc,5,0.1,D,4.281338170092704,0.8831116485288191,1.943571140669085,9.382716049382712
ksc,5,0.1,A,3.770253929866989,0.8883514711809755,1.5372833534864974,11.739130434782608
ksc,5,0.1,B,3.4425634824667473,0.8976219266424829,1.3950020153164047,16.92307692307693
ksc,5,0.1,C,3.1084240225715436,0.9161628375654978,1.4316807738814994,18.571428571428573
ksc,5,0.15,D,3.944511621657934,0.8278919790407094,1.649738008867392,12.058823529411766
ksc,5,0.15,A,3.483138519414215,0.8383716243450222,1.3280935106811769,15.000000000000002
ksc,5,0.15,B,3.370012091898428,0.8403869407496977,1.241837968561064,14.927007299270068
ksc,5,0.15,C,3.1352949079672174,0.8589278516727126,1.2543329302700523,37.54237288135593
ksc,6,0.05,D,4.593309149536477,0.9524385328496574,2.6908504635227732,2.7272727272727337
ksc,6,0.05,A,4.090689238210399,0.9540507859733979,2.252720677146312,4.815950920245394
ksc,6,0.05,B,3.5191455058444174,0.958484482063684,1.8585247883917775,8.666666666666668
ksc,6,0.05,C,3.5554212011285773,0.958484482063684,1.8948004836759371,4.173553719008272
ksc,6,0.1,D,4.016928657799275,0.8988311164852882,1.9935509875050383,6.0317460317460325
ksc,6,0.1,A,3.47037484885127,0.9129383313180169,1.7291414752116083,11.364985163204755
ksc,6,0.1,B,3.422813381700927,0.9036678758565094,1.4961708988311164,9.999999999999998
ksc,6,0.1,C,3.3071342200725513,0.9189842805320435,1.686819830713422,7.979797979797976
ksc,6,0.15,D,3.6764745398360876,0.8508665860540104,1.6880290205562274,10.744680851063837
ksc,6,0.15,A,3.3415289533790142,0.860540104796453,1.4820636839983878,15.000000000000002
ksc,6,0.15,B,3.221416095660352,0.8581217251108424,1.3297057638049175,17.036613272311207
ksc,6,0.15,C,3.313583232567513,0.8669891172914147,1.5401047964530432,13.750000000000007
ksc,7,0.05,D,3.90528012898025,0.9447803305118904,1.6964933494558645,5.000000000000004
ksc,7,0.05,A,3.4054816606207177,0.9500201531640468,1.4062877871825876,7.154696132596683
ksc,7,0.05,B,3.2845626763401854,0.9496170898831117,1.2692462716646513,29.78260869565217
ksc,7,0.05,C,2.7154373236598146,0.9653365578395808,1.328899637243047,9.81481481481481
ksc,7,0.1,D,3.247480854494156,0.9085046352277307,1.4175735590487706,4.523809523809518
ksc,7,0.1,A,3.087061668681983,0.9068923821039904,1.2249093107617897,18.571428571428573
ksc,7,0.1,B,3.0741636436920596,0.9052801289802499,1.1797662232970576,34.44444444444444
