experiment,config_id,alpha,method,best_bw,is,cov,size,sscv_pct,dataset,seed,tile,size_px
HSI,pu_seed6,0.1,E,100,3.0990452899402716,0.902506701782439,1.1491793255890514,15.000000000000002,pu,6.0,,
HSI,pu_seed6,0.15,E,100,3.0256313784508304,0.8519964257160325,1.0522503879979306,85.0,pu,6.0,,
HSI,pu_seed7,0.05,E,100,3.1674269858439543,0.9542867892583361,1.3388985561773974,3.987854251012146,pu,7.0,,
HSI,pu_seed7,0.1,E,100,3.0454780604806473,0.9065983163241311,1.1774443869632696,9.999999999999998,pu,7.0,,
HSI,pu_seed7,0.15,E,100,2.95956983178918,0.8588628133377229,1.0777406762921506,15.000000000000002,pu,7.0,,
HSI,pu_seed8,0.05,E,100,3.448666698020035,0.9493486337769835,1.4226120490993746,5.000000000000004,pu,8.0,,
HSI,pu_seed8,0.1,E,100,3.175939425292762,0.9019423411559987,1.2147862484127356,9.999999999999998,pu,8.0,,
HSI,pu_seed8,0.15,E,100,3.09084638417282,0.8493627427926445,1.0823496214080797,15.000000000000002,pu,8.0,,
HSI,pu_seed9,0.05,E,100,3.4081738230729437,0.94887833325495,1.3633071532709402,20.80645161290322,pu,9.0,,
HSI,pu_seed9,0.1,E,100,3.173305742369374,0.8994027183370173,1.1613601091097212,9.999999999999998,pu,9.0,,
HSI,pu_seed9,0.15,E,100,3.0587248585179263,0.8495038329492546,1.0521092978413207,9.985250737463126,pu,9.0,,
HSI,sa_seed0,0.05,E,10,3.3150705270972534,0.9528582034149963,1.4293986636971048,11.939890710382507,sa,0.0,,
HSI,sa_seed0,0.1,E,10,3.1482925018559764,0.903192279138827,1.2121380846325167,14.77876106194691,sa,0.0,,
HSI,sa_seed0,0.15,E,10,3.081403118040089,0.8502227171492205,1.0843726800296956,20.13513513513513,sa,0.0,,
HSI,sa_seed1,0.05,E,20,3.250334075723831,0.950482553823311,1.2696362286562732,5.000000000000004,sa,1.0,,
HSI,sa_seed1,0.1,E,20,3.0979213066072755,0.9014476614699332,1.1268745360059391,6.917728852838934,sa,1.0,,
HSI,sa_seed1,0.15,E,20,3.029411036872062,0.8500742390497401,1.0304008908685969,15.000000000000002,sa,1.0,,
HSI,sa_seed2,0.05,E,50,3.1270230141054194,0.9555308092056422,1.348255382331106,6.24338624338624,sa,2.0,,
HSI,sa_seed2,0.1,E,50,3.1342242019302153,0.9019302152932442,1.1728285077951002,13.849372384937242,sa,2.0,,
HSI,sa_seed2,0.15,E,50,3.0782232120762187,0.8487379361544172,1.061395694135115,23.0,sa,2.0,,
HSI,sa_seed3,0.05,E,100,3.3906087602078694,0.9480326651818857,1.3119153674832962,35.0,sa,3.0,,
HSI,sa_seed3,0.1,E,100,3.1636228656273198,0.9,1.16362286562732,7.890597068287453,sa,3.0,,
HSI,sa_seed3,0.15,E,100,3.0364390002474644,0.8517074981440238,1.0592056421677802,12.353249475890992,sa,3.0,,
HSI,sa_seed4,0.05,E,15,3.1846696362286564,0.9542687453600593,1.355419450631032,15.437956204379555,sa,4.0,,
HSI,sa_seed4,0.1,E,15,3.106904231625835,0.9046399406087602,1.1997030438010394,18.246753246753244,sa,4.0,,
HSI,sa_seed4,0.15,E,15,3.043516456322693,0.8546399406087603,1.105382331106162,21.015325670498086,sa,4.0,,
HSI,sa_seed5,0.05,E,7,3.372197475872309,0.9549740163325909,1.5711581291759464,4.525101763907735,sa,5.0,,
HSI,sa_seed5,0.1,E,7,3.221492204899777,0.9076095025983667,1.373682256867112,8.951048951048946,sa,5.0,,
HSI,sa_seed5,0.15,E,7,3.1578074733976744,0.8566443949517446,1.246399406087602,13.63849765258216,sa,5.0,,
HSI,sa_seed6,0.05,E,15,3.2851893095768374,0.9534892353377876,1.4247587230883445,4.999999999999993,sa,6.0,,
HSI,sa_seed6,0.1,E,15,3.097735708982925,0.90452858203415,1.1883073496659242,7.589629329552361,sa,6.0,,
HSI,sa_seed6,0.15,E,15,3.0296956198960654,0.8533407572383074,1.0742390497401633,19.782608695652172,sa,6.0,,
HSI,sa_seed7,0.05,E,50,3.364031180400891,0.9560504825538233,1.6060504825538233,14.870129870129867,sa,7.0,,
HSI,sa_seed7,0.1,E,50,3.0730883444691908,0.9076466221232368,1.2260207869339272,16.06382978723404,sa,7.0,,
HSI,sa_seed7,0.15,E,50,2.983890126206385,0.8594654788418709,1.1100965107646623,15.000000000000002,sa,7.0,,
HSI,sa_seed8,0.05,E,15,3.214365256124722,0.953637713437268,1.3598737936154417,2.754532775453278,sa,8.0,,
HSI,sa_seed8,0.1,E,15,3.042167780252413,0.9060876020786934,1.1639198218262807,13.94366197183099,sa,8.0,,
HSI,sa_seed8,0.15,E,15,2.9434917099727795,0.8588344469190794,1.0612843355605048,24.473684210526315,sa,8.0,,
HSI,sa_seed9,0.05,E,15,3.2531551596139567,0.9555308092056422,1.4743875278396437,8.483146067415726,sa,9.0,,
HSI,sa_seed9,0.1,E,15,3.235412026726058,0.8997030438010394,1.2294729027468447,9.999999999999998,sa,9.0,,
HSI,sa_seed9,0.15,E,15,3.1539841623360556,0.8466221232368226,1.1089458054936896,15.000000000000002,sa,9.0,,
S2,everglades_fl_s100,0.05,E,50,3.261,0.945,1.061,3.8950276243093995,,,everglades_fl,100.0
S2,everglades_fl_s100,0.1,E,50,3.053,0.8965,0.983,8.989898989898993,,,everglades_fl,100.0
S2,everglades_fl_s100,0.15,E,50,3.0085,0.8425,0.9085,13.214285714285712,,,everglades_fl,100.0
S2,everglades_fl_s200,0.05,E,15,3.2818716376829724,0.9447016139121731,1.0699361941698986,5.000000000000004,,,everglades_fl,200.0
S2,everglades_fl_s200,0.1,E,15,3.142499687226323,0.8914049793569373,0.9705992743650694,9.999999999999998,,,everglades_fl,200.0
S2,everglades_fl_s200,0.15,E,15,2.996538637974895,0.8429876141623921,0.9030401601401226,15.000000000000002,,,everglades_fl,200.0
S2,everglades_fl_s500,0.05,E,50,3.0725,0.95168,1.1397,5.000000000000004,,,everglades_fl,500.0
S2,everglades_fl_s500,0.1,E,50,2.98574,0.90142,1.01414,8.215671062839414,,,everglades_fl,500.0
S2,everglades_fl_s500,0.15,E,50,2.933453333333333,0.84966,0.92892,15.000000000000002,,,everglades_fl,500.0
S2,hartford_ct_s100,0.05,E,30,4.042521260630315,0.9484742371185593,1.9814907453726864,5.000000000000004,,,hartford_ct,100.0
S2,hartford_ct_s100,0.1,E,30,3.8414207103551776,0.8884442221110556,1.6103051525762881,9.999999999999998,,,hartford_ct,100.0
S2,hartford_ct_s100,0.15,E,30,3.5971318992829753,0.8354177088544272,1.4027013506753376,15.000000000000002,,,hartford_ct,100.0
S2,hartford_ct_s200,0.05,E,100,4.030348633057437,0.9477050413844996,1.9385502884374217,5.000000000000004,,,hartford_ct,200.0
S2,hartford_ct_s200,0.1,E,100,3.7348883872585903,0.8925257085527966,1.5854025583145221,9.999999999999998,,,hartford_ct,200.0
S2,hartford_ct_s200,0.15,E,100,3.445113284842405,0.8459994983697016,1.3917732631050916,15.000000000000002,,,hartford_ct,200.0
S2,hartford_ct_s500,0.05,E,100,3.88306621045681,0.9526982411909478,1.9909958580947236,5.000000000000004,,,hartford_ct,500.0
S2,hartford_ct_s500,0.1,E,100,3.6044780599075574,0.902215018908698,1.6487784380815176,9.999999999999998,,,hartford_ct,500.0
S2,hartford_ct_s500,0.15,E,100,3.4214471990448945,0.8509114192528563,1.4335994557496448,12.297297297297305,,,hartford_ct,500.0
S2,lancaster_pa_s100,0.05,E,100,3.618118118118118,0.9434434434434434,1.3558558558558558,5.000000000000004,,,lancaster_pa,100.0
S2,lancaster_pa_s100,0.1,E,100,3.23973973973974,0.8963963963963963,1.1676676676676676,9.999999999999998,,,lancaster_pa,100.0
S2,lancaster_pa_s100,0.15,E,100,3.1813480146813484,0.8403403403403403,1.0525525525525525,6.26884422110553,,,lancaster_pa,100.0
S2,lancaster_pa_s200,0.05,E,100,3.80810607955967,0.9433324993745309,1.5414060545409056,2.674418604651163,,,lancaster_pa,200.0
S2,lancaster_pa_s200,0.1,E,100,3.4270703027270453,0.8944208156117088,1.315486614961221,9.999999999999998,,,lancaster_pa,200.0
S2,lancaster_pa_s200,0.15,E,100,3.211116670836461,0.8477608206154615,1.181260945709282,15.000000000000002,,,lancaster_pa,200.0
S2,lancaster_pa_s500,0.05,E,30,3.78654,0.95208,1.86974,5.000000000000004,,,lancaster_pa,500.0
S2,lancaster_pa_s500,0.1,E,30,3.51416,0.90126,1.53936,9.999999999999998,,,lancaster_pa,500.0
S2,lancaster_pa_s500,0.15,E,30,3.349486666666667,0.84932,1.34042,11.721311475409834,,,lancaster_pa,500.0
S2,lubbock_tx_s100,0.05,E,10,4.129064532266133,0.9384692346173087,1.6678339169584793,5.000000000000004,,,lubbock_tx,100.0
S2,lubbock_tx_s100,0.1,E,10,3.7078539269634816,0.8829414707353677,1.3666833416708355,8.039215686274503,,,lubbock_tx,100.0
S2,lubbock_tx_s100,0.15,E,10,3.4560613640153415,0.8294147073536768,1.181590795397699,10.45454545454546,,,lubbock_tx,100.0
S2,lubbock_tx_s200,0.05,E,30,3.7491559334750533,0.9517318994622984,1.8184319119669876,5.223912125052809,,,lubbock_tx,200.0
S2,lubbock_tx_s200,0.1,E,30,3.3373765161935727,0.9077153932724772,1.4916843816431162,9.999999999999998,,,lubbock_tx,200.0
S2,lubbock_tx_s200,0.15,E,30,3.189112583885624,0.8558209328498186,1.2667250218832062,8.153237074988361,,,lubbock_tx,200.0
S2,lubbock_tx_s500,0.05,E,100,3.93732,0.9476,1.84132,5.698573523530193,,,lubbock_tx,500.0
S2,lubbock_tx_s500,0.1,E,100,3.53626,0.898,1.49626,9.999999999999998,,,lubbock_tx,500.0
S2,lubbock_tx_s500,0.15,E,100,3.2957800000000006,0.8503,1.29978,15.000000000000002,,,lubbock_tx,500.0
S2,mississippi_la_s200,0.05,E,100,3.080125,0.947625,0.985125,5.000000000000004,,,mississippi_la,200.0
S2,mississippi_la_s200,0.1,E,100,2.9765,0.897375,0.924,9.999999999999998,,,mississippi_la,200.0
S2,mississippi_la_s200,0.15,E,100,2.952583333333334,0.843375,0.86425,14.0625,,,mississippi_la,200.0
S2,mississippi_la_s500,0.05,E,50,3.01522,0.94984,1.00882,4.692307692307695,,,mississippi_la,500.0
S2,mississippi_la_s500,0.1,E,50,2.98318,0.89772,0.93758,9.999999999999998,,,mississippi_la,500.0
S2,mississippi_la_s500,0.15,E,50,2.9197,0.84688,0.8781,15.000000000000002,,,mississippi_la,500.0
